prefix,input_text,target_text
counterspeech,তোমার দেখতে ছেলেদের মতো। যদি তোমার দেখতে মেয়েদের মতো হতো। তাহলে তুমি অবশ্যই বেশ্যা হতে। 😂,মানুষ কে সম্মান করতে শিখুন। তবেই নিজে সম্মানিত হবেন।
counterspeech,তোমার দেখতে ছেলেদের মতো। যদি তোমার দেখতে মেয়েদের মতো হতো। তাহলে তুমি অবশ্যই বেশ্যা হতে। 😂,অশ্লীল ভাষায় কাউকে অপমান করা তাদের অপমান নয়। এমন অশ্লীল কথা বলতে থাকলে আপনি সম্মান হারাবেন।
counterspeech,@taslimanasreen  তোর মেয়েরে আর তোরে এক বিছানায় ফালাইয়া চুদি...খানকি মাগি,মহিলাদের সম্মান করতে শিখুন। তবেই নিজে সম্মানিত হবেন।
counterspeech,@taslimanasreen  তোর মেয়েরে আর তোরে এক বিছানায় ফালাইয়া চুদি...খানকি মাগি,"অন্যকে  গালাগালি দিয়ে অপমানজনক কথা বলার মধ্যে কোনো বীরত্ব নেই, বরং সম্মান দিয়ে কথা বললে আপনারও সম্মান বাড়বে।"
counterspeech,"   @taslimanasreen  বেশ্যা, পতিতারা এমনই হয়।",অভব্য ভাষা ব্যবহার বন্ধ করুন। মহিলাদের সম্মান করতে শিখুন।
counterspeech,"   @taslimanasreen  বেশ্যা, পতিতারা এমনই হয়।",আপনি কি করে জানলেন? আপনার জাতায়াত আছে বুঝি?
counterspeech,"তাসলিমা আমার বাড়ির কুত্তা তোক চুইদা তোর ভোদা ফাটাইবো খানকি,,,তোর কালা পুটকি চুইদা ধলা বানাইবো,, কুত্তার চোদা খাইয়া ভালোই মজা পাবি",আপনার মুখের ভাষা খুবই জঘন্য। কোনো ব্যক্তিকে অভব্য ভাষায় উত্ত্যক্ত করা বন্ধ করুন।
counterspeech,"তাসলিমা আমার বাড়ির কুত্তা তোক চুইদা তোর ভোদা ফাটাইবো খানকি,,,তোর কালা পুটকি চুইদা ধলা বানাইবো,, কুত্তার চোদা খাইয়া ভালোই মজা পাবি","লেখক তাসলিমার জন্য আপনার এই মন্তব্য বুঝিয়ে দিছে যে আপনি ওনার  কর্মে খুশি নন কারণ আপনি নিজে কোনো মহিলাকে সন্মান ,যথাযথ অধিকার দিতে জানেন না কিন্তু উনি সফল এই কর্মে তাই আপনার ক্ষোভ শুধু কিছু কু-শব্দের দ্বারা প্রকাশ পাছে।আপনি যদি ওনার মত একটু হলেও শিক্ষিত হতেন তাহলে আপনি এই ধরণের মন্তব্য কখনই করতে পারতেন না।"
counterspeech,শালী বাবাচুদি খানকি একটা,আপনি গালিগালির প্রদর্শন করছেন বলে মনে হয়। চারটে শব্দ। তার মধ্যে তিনটি গালাগালি।
counterspeech,শালী বাবাচুদি খানকি একটা,আপনি যদি নারীদের ঘৃণা করতে থাকেন তাহলে সমাজ আপনাকে অবহেলা করতে শুরু করবে।
counterspeech,আমরা চোদনে expart ! আমি কেমন চুদি তোর মাকে জিঞ্জাসা কর রে বেতো খানকি 😂,আপনি কিসে এক্সপার্ট কেউ জানতে চাইনি। অভদ্র মন্তব্য বন্ধ করুন।
counterspeech,আমরা চোদনে expart ! আমি কেমন চুদি তোর মাকে জিঞ্জাসা কর রে বেতো খানকি 😂,আপনি উক্ত ব্যক্তি কে তার মা নিয়ে কুরুচিকর শব্দ ব্যবহার করছেন কেউ এই অপমান যদি আপনাকে নিয়ে করতো আপনার কি ভালো লাগতো? একটু ভেবে দেখবেন তাহলে আর এইধরণের মন্তব্য করতে পারবেন না আশা করি।
counterspeech,"কেনরে খানকি মাগীর পুলা, চোখ কী পুটকির ভিতর ঢুকাই রাখছোস??? নাকি পর্ণ দেখতে দেখতে চোখ নষ্ট কইরা ফেলছোস???😑😑","গালিগালাজ না করে, কথাটার মানে এই দাঁড়ায়, "" চোখে দেখতে পাওনা?"" এইটুকু কথা। এত নোংরামি।"
counterspeech,"কেনরে খানকি মাগীর পুলা, চোখ কী পুটকির ভিতর ঢুকাই রাখছোস??? নাকি পর্ণ দেখতে দেখতে চোখ নষ্ট কইরা ফেলছোস???😑😑",এই মন্তব্য করে কি জীবনে কিছু অর্জন করতে পারলেন? বরং এই রকম পোস্টের জন্য ঝগড়া বিবাদ বাড়তে থাকবে।
counterspeech,এটা বাংলাদেশেই সম্ভব !( যে দেশকে Dictionary তে পৃথিবীর শ্রেষ্ট অসভ্য দেশ বলে),"যেকোনো দেশ কেই অসভ্য বলা বন্ধ করুন, আজে বাজে কথা বললে লোকে আপনাকেই অসভ্য বলবে।"
