functionality,case_id,test_case,label_gold,target_ident,direction,focus_words,focus_lemma,ref_case_id,ref_templ_id,templ_id,case_templ
slur_homonym_nh,1042,I had to take my bitch to the vet today and she would not stop barking. ,non-hateful,women,-,bitch,bitch,,,152,I had to take my bitch to the vet today and she would not stop barking.
slur_homonym_nh,1043,My friend's bitch is not like other dogs. She hates going for walks. ,non-hateful,women,-,bitch,bitch,,,153,My friend's bitch is not like other dogs. She hates going for walks.
slur_homonym_nh,1044,Female canines are called bitches. ,non-hateful,women,-,bitches,bitch,,,154,Female canines are called bitches.
slur_homonym_nh,1045,The bitch won first place in the sporting dogs category. ,non-hateful,women,-,bitch,bitch,,,155,The bitch won first place in the sporting dogs category.
slur_homonym_nh,1046,I keep two garden hoes out in my tool shed. ,non-hateful,women,-,hoes,hoe,,,156,I keep two garden hoes out in my tool shed.
slur_homonym_nh,1047,There's a garden hoe hanging right next to that shovel there. ,non-hateful,women,-,hoe,hoe,,,157,There's a garden hoe hanging right next to that shovel there.
slur_homonym_nh,1048,We spent the afternoon hoeing the vegetable patch. ,non-hateful,women,-,hoeing,hoe,,,158,We spent the afternoon hoeing the vegetable patch.
slur_homonym_nh,1049,A hoe is a kind of garden tool used to remove weeds. ,non-hateful,women,-,hoe,hoe,,,159,A hoe is a kind of garden tool used to remove weeds.
slur_homonym_nh,1050,You will need a good garden hoe for turning over that field. ,non-hateful,women,-,hoe,hoe,,,160,You will need a good garden hoe for turning over that field.
slur_reclaimed_nh,1051,"Y'all some haters, this nigga a genius. ",non-hateful,black people,-,nigga,nigga,,,161,"Y'all some haters, this nigga a genius."
slur_reclaimed_nh,1052,This nigga's flow too hard. ,non-hateful,black people,-,nigga,nigga,,,162,This nigga's flow too hard.
slur_reclaimed_nh,1053,I'm that nigga for real. ,non-hateful,black people,-,nigga,nigga,,,163,I'm that nigga for real.
slur_reclaimed_nh,1054,My nigga killed it for real. ,non-hateful,black people,-,nigga,nigga,,,164,My nigga killed it for real.
slur_reclaimed_nh,1055,My nigga's lookin clean. ,non-hateful,black people,-,nigga,nigga,,,165,My nigga's lookin clean.
slur_reclaimed_nh,1056,"I gotchu, my nigga. ",non-hateful,black people,-,nigga,nigga,,,166,"I gotchu, my nigga."
slur_reclaimed_nh,1057,"This nigga had so much talent, RIP. ",non-hateful,black people,-,nigga,nigga,,,167,"This nigga had so much talent, RIP."
slur_reclaimed_nh,1058,I'm the freshest nigga in the room. ,non-hateful,black people,-,nigga,nigga,,,168,I'm the freshest nigga in the room.
slur_reclaimed_nh,1059,"Nigga, I made it. Thanks for all the love and support. ",non-hateful,black people,-,nigga,nigga,,,169,"Nigga, I made it. Thanks for all the love and support."
slur_reclaimed_nh,1060,Me and my niggas ain't playing. ,non-hateful,black people,-,niggas,nigga,,,170,Me and my niggas ain't playing.
slur_reclaimed_nh,1061,Shout out to all my niggas. ,non-hateful,black people,-,niggas,nigga,,,171,Shout out to all my niggas.
slur_reclaimed_nh,1062,Real niggas know what's up. ,non-hateful,black people,-,niggas,nigga,,,172,Real niggas know what's up.
slur_reclaimed_nh,1063,My niggas gon have your back no matter what. ,non-hateful,black people,-,niggas,nigga,,,173,My niggas gon have your back no matter what.
slur_reclaimed_nh,1064,All I need is my day one niggas. ,non-hateful,black people,-,niggas,nigga,,,174,All I need is my day one niggas.
slur_reclaimed_nh,1065,We the realest niggas round here. ,non-hateful,black people,-,niggas,nigga,,,175,We the realest niggas round here.
slur_reclaimed_nh,1066,All my niggas tryna get that money. ,non-hateful,black people,-,niggas,nigga,,,176,All my niggas tryna get that money.
slur_reclaimed_nh,1067,"I really do love my niggas, man. Closest thing to family I got for real. ",non-hateful,black people,-,niggas,nigga,,,177,"I really do love my niggas, man. Closest thing to family I got for real."
slur_reclaimed_nh,1068,"My niggas are far too talented, this is a vibe!",non-hateful,black people,-,niggas,nigga,,,178,"My niggas are far too talented, this is a vibe!"
slur_reclaimed_nh,1069,Love to see my niggas winning. ,non-hateful,black people,-,niggas,nigga,,,179,Love to see my niggas winning.
slur_reclaimed_nh,1070,It's about time we saw more queer representation on TV. ,non-hateful,gay people,-,queer,queer,,,180,It's about time we saw more queer representation on TV.
slur_reclaimed_nh,1071,I love the way I accepted myself and embraced queer culture. ,non-hateful,gay people,-,queer,queer,,,181,I love the way I accepted myself and embraced queer culture.
slur_reclaimed_nh,1072,That moment was really pivotal for queer culture. ,non-hateful,gay people,-,queer,queer,,,182,That moment was really pivotal for queer culture.
slur_reclaimed_nh,1073,We fought hard for queer rights. ,non-hateful,gay people,-,queer,queer,,,183,We fought hard for queer rights.
slur_reclaimed_nh,1074,The desire to classify queer people into strict categories is a colonial desire. ,non-hateful,gay people,-,queer,queer,,,184,The desire to classify queer people into strict categories is a colonial desire.
slur_reclaimed_nh,1075,Great to see my university offer a course in queer studies. ,non-hateful,gay people,-,queer,queer,,,185,Great to see my university offer a course in queer studies.
slur_reclaimed_nh,1076,"As a queer person, seeing stuff like this makes me really angry. ",non-hateful,gay people,-,queer,queer,,,186,"As a queer person, seeing stuff like this makes me really angry."
slur_reclaimed_nh,1077,We were criminalised just for being queer. ,non-hateful,gay people,-,queer,queer,,,187,We were criminalised just for being queer.
slur_reclaimed_nh,1078,The queer community is super welcoming. ,non-hateful,gay people,-,queer,queer,,,188,The queer community is super welcoming.
slur_reclaimed_nh,1079,Please stop assuming all queer people are polyamorous. ,non-hateful,gay people,-,queer,queer,,,189,Please stop assuming all queer people are polyamorous.
slur_reclaimed_nh,1080,The Q in LGBTQ stands for queer. ,non-hateful,gay people,-,queer,queer,,,190,The Q in LGBTQ stands for queer.
slur_reclaimed_nh,1081,We marched for queer liberation. ,non-hateful,gay people,-,queer,queer,,,191,We marched for queer liberation.
slur_reclaimed_nh,1082,Queer theory is an important addition to the curriculum. ,non-hateful,gay people,-,queer,queer,,,192,Queer theory is an important addition to the curriculum.
slur_reclaimed_nh,1083,Queer liberation is about dismantling the systems that oppress us. ,non-hateful,gay people,-,queer,queer,,,193,Queer liberation is about dismantling the systems that oppress us.
slur_reclaimed_nh,1084,"As a queer person myself, I don't understand why people are mad at you. ",non-hateful,gay people,-,queer,queer,,,194,"As a queer person myself, I don't understand why people are mad at you."
slur_reclaimed_nh,1085,Calling myself a faggot to offend the homophobes. ,non-hateful,gay people,-,faggot,faggot,,,195,Calling myself a faggot to offend the homophobes.
slur_reclaimed_nh,1086,Being straight sounds horrendous. I love being a faggot. ,non-hateful,gay people,-,faggot,faggot,,,196,Being straight sounds horrendous. I love being a faggot.
slur_reclaimed_nh,1087,"I'm a proud faggot, and I should not be banned for posting that. ",non-hateful,gay people,-,faggot,faggot,,,197,"I'm a proud faggot, and I should not be banned for posting that."
slur_reclaimed_nh,1088,"Well, I am happily a faggot and proud!",non-hateful,gay people,-,faggot,faggot,,,198,"Well, I am happily a faggot and proud!"
slur_reclaimed_nh,1089,Just because I call myself faggot doesn't mean you can. ,non-hateful,gay people,-,faggot,faggot,,,199,Just because I call myself faggot doesn't mean you can.
slur_reclaimed_nh,1090,"I call myself faggot all the time. Keep up with the times, homophobes. ",non-hateful,gay people,-,faggot,faggot,,,200,"I call myself faggot all the time. Keep up with the times, homophobes."
slur_reclaimed_nh,1091,Happy Pride month! I love being a faggot!,non-hateful,gay people,-,faggot,faggot,,,201,Happy Pride month! I love being a faggot!
slur_reclaimed_nh,1092,I kiss men. I'm a faggot. Does that scare you?,non-hateful,gay people,-,faggot,faggot,,,202,I kiss men. I'm a faggot. Does that scare you?
slur_reclaimed_nh,1093,Us faggots are not entertainment. We are people. ,non-hateful,gay people,-,faggots,faggot,,,203,Us faggots are not entertainment. We are people.
slur_reclaimed_nh,1094,"We don't have a problem calling ourselves faggots. It's our word, it's what we are. ",non-hateful,gay people,-,faggots,faggot,,,204,"We don't have a problem calling ourselves faggots. It's our word, it's what we are."
slur_reclaimed_nh,1095,"We can call ourselves faggots if that feels empowering, but not others. ",non-hateful,gay people,-,faggots,faggot,,,205,"We can call ourselves faggots if that feels empowering, but not others."
slur_reclaimed_nh,1096,We started calling ourselves faggots instead of hearing it just hurled at us as an insult. ,non-hateful,gay people,-,faggots,faggot,,,206,We started calling ourselves faggots instead of hearing it just hurled at us as an insult.
slur_reclaimed_nh,1097,My husband I are both proud faggots. ,non-hateful,gay people,-,faggots,faggot,,,207,My husband I are both proud faggots.
slur_reclaimed_nh,1098,Keep your thoughts to yourself. We are faggots and proud of it!,non-hateful,gay people,-,faggots,faggot,,,208,Keep your thoughts to yourself. We are faggots and proud of it!
slur_reclaimed_nh,1099,We are faggots. We are different. We are brave. ,non-hateful,gay people,-,faggots,faggot,,,209,We are faggots. We are different. We are brave.
slur_reclaimed_nh,1100,Today is national coming out day. Here's to all my fellow faggots!,non-hateful,gay people,-,faggots,faggot,,,210,Today is national coming out day. Here's to all my fellow faggots!
slur_reclaimed_nh,1101,"Yeah, I'm a fag. Deal with it. ",non-hateful,gay people,-,fag,fag,,,211,"Yeah, I'm a fag. Deal with it."
slur_reclaimed_nh,1102,This is one of the many reasons why being a fag is great. ,non-hateful,gay people,-,fag,fag,,,212,This is one of the many reasons why being a fag is great.
slur_reclaimed_nh,1103,"I've been out for years and it hasn't been easy, but I also love being a fag. ",non-hateful,gay people,-,fag,fag,,,213,"I've been out for years and it hasn't been easy, but I also love being a fag."
slur_reclaimed_nh,1104,Love to upset homophobes by being a fag. ,non-hateful,gay people,-,fag,fag,,,214,Love to upset homophobes by being a fag.
slur_reclaimed_nh,1105,"You can hate all you want, I'm not going anywhere. Proud to be a fag. ",non-hateful,gay people,-,fag,fag,,,215,"You can hate all you want, I'm not going anywhere. Proud to be a fag."
slur_reclaimed_nh,1106,I am a fag and proud of stating that fact. No one can take that away from me. ,non-hateful,gay people,-,fag,fag,,,216,I am a fag and proud of stating that fact. No one can take that away from me.
slur_reclaimed_nh,1107,I find so much power in calling myself a fag. ,non-hateful,gay people,-,fag,fag,,,217,I find so much power in calling myself a fag.
slur_reclaimed_nh,1108,"If I want to call myself a fag I will, and you will not say a word on it. ",non-hateful,gay people,-,fag,fag,,,218,"If I want to call myself a fag I will, and you will not say a word on it."
slur_reclaimed_nh,1109,I'm a fag. I have the authority to reclaim that and you don't. ,non-hateful,gay people,-,fag,fag,,,219,I'm a fag. I have the authority to reclaim that and you don't.
slur_reclaimed_nh,1110,Let me live my fag ways and stay out of it. ,non-hateful,gay people,-,fag,fag,,,220,Let me live my fag ways and stay out of it.
slur_reclaimed_nh,1111,I'm comfortable calling myself a fag. I don't use that word to insult others. ,non-hateful,gay people,-,fag,fag,,,221,I'm comfortable calling myself a fag. I don't use that word to insult others.
slur_reclaimed_nh,1112,Fags like me are out fighting homophobia every day. ,non-hateful,gay people,-,fags,fag,,,222,Fags like me are out fighting homophobia every day.
slur_reclaimed_nh,1113,Shout out to all my proud fags. Love you. ,non-hateful,gay people,-,fags,fag,,,223,Shout out to all my proud fags. Love you.
slur_reclaimed_nh,1114,Trying to insult us like that is pointless. We call ourselves fags all the time. ,non-hateful,gay people,-,fags,fag,,,224,Trying to insult us like that is pointless. We call ourselves fags all the time.
slur_reclaimed_nh,1115,Much love to all my fags marching with me at Pride today. ,non-hateful,gay people,-,fags,fag,,,225,Much love to all my fags marching with me at Pride today.
slur_reclaimed_nh,1116,"We can call ourselves fags but the moment you turn it against us, it's a slur. ",non-hateful,gay people,-,fags,fag,,,226,"We can call ourselves fags but the moment you turn it against us, it's a slur."
slur_reclaimed_nh,1117,If I'm a bitch then I'm the baddest bitch,non-hateful,women,-,bitch,bitch,,,227,If I'm a bitch then I'm the baddest bitch
slur_reclaimed_nh,1118,I'm the bitch you wish you could be. ,non-hateful,women,-,bitch,bitch,,,228,I'm the bitch you wish you could be.
slur_reclaimed_nh,1119,"A bitch like me will fight, so please don't forget that. ",non-hateful,women,-,bitch,bitch,,,229,"A bitch like me will fight, so please don't forget that."
slur_reclaimed_nh,1120,Tell me I ain't the cutest bitch you ever seen,non-hateful,women,-,bitch,bitch,,,230,Tell me I ain't the cutest bitch you ever seen
slur_reclaimed_nh,1121,I got a new wig and I feel like a bad bitch. ,non-hateful,women,-,bitch,bitch,,,231,I got a new wig and I feel like a bad bitch.
slur_reclaimed_nh,1122,Did you forget who I am? I'm a boss bitch. ,non-hateful,women,-,bitch,bitch,,,232,Did you forget who I am? I'm a boss bitch.
